DAC sample,sin(rad)
0,0
1,213
2,458
3,696
4,892
5,1109
6,1309
7,1464
8,1626
9,1764
10,1860
11,1947
12,2005
13,2032
14,2034
15,2012
16,1957
17,1875
18,1782
19,1648
20,1489
21,1336
22,1139
23,924
24,696
25,493
26,249
27,0
28,-212
29,-457
30,-695
31,-891
32,-1108
33,-1308
34,-1463
35,-1626
36,-1763
37,-1860
38,-1947
39,-2005
40,-2031
41,-2035
42,-2006
43,-1958
44,-1875
45,-1764
46,-1648
47,-1490
48,-1337
49,-1140
50,-925
51,-731
52,-494
53,-250
54,0
55,213
56,458
57,696
58,892
59,1109
60,1309
61,1464
62,1626
63,1764
64,1860
65,1947
66,2005
67,2032
68,2034
69,2012
70,1957
71,1875
72,1782
73,1648
74,1489
75,1336
76,1139
77,924
78,696
79,493
80,249
81,0
82,-212
83,-457
84,-695
85,-891
86,-1108
87,-1308
88,-1463
89,-1626
90,-1763
91,-1860
92,-1947
93,-2005
94,-2031
95,-2035
96,-2006
97,-1958
98,-1875
99,-1764
100,-1648
101,-1490
102,-1337
103,-1140
104,-925
105,-731
106,-494
107,-250
108,0
109,213
110,458
111,696
112,892
113,1109
114,1309
115,1464
116,1626
117,1764
118,1860
119,1947
120,2005
121,2032
122,2034
123,2012
124,1957
125,1875
126,1782
127,1648
128,1489
129,1336
130,1139
131,924
132,696
133,493
134,249
135,0
136,-212
137,-457
138,-695
139,-891
140,-1108
141,-1308
142,-1463
143,-1626
144,-1763
145,-1860
146,-1947
147,-2005
148,-2031
149,-2035
150,-2006
151,-1958
152,-1875
153,-1764
154,-1648
155,-1490
156,-1337
157,-1140
158,-925
159,-731
160,-494
161,-250
162,0
163,213
164,458
165,696
166,892
167,1109
168,1309
169,1464
170,1626
171,1764
172,1860
173,1947
174,2005
175,2032
176,2034
177,2012
178,1957
179,1875
180,1782
181,1648
182,1489
183,1336
184,1139
185,924
186,696
187,493
188,249
189,0
190,-212
191,-457
192,-695
193,-891
194,-1108
195,-1308
196,-1463
197,-1626
198,-1763
199,-1860
200,-1947
201,-2005
202,-2031
203,-2035
204,-2006
205,-1958
206,-1875
207,-1764
208,-1648
209,-1490
210,-1337
211,-1140
212,-925
213,-731
214,-494
215,-250
216,0
217,213
218,458
219,696
220,892
221,1109
222,1309
223,1464
224,1626
225,1764
226,1860
227,1947
228,2005
229,2032
230,2034
231,2012
232,1957
233,1875
234,1782
235,1648
236,1489
237,1336
238,1139
239,924
240,696
241,493
242,249
243,0
244,-212
245,-457
246,-695
247,-891
248,-1108
249,-1308
250,-1463
251,-1626
252,-1763
253,-1860
254,-1947
255,-2005
256,-2031
257,-2035
258,-2006
259,-1958
260,-1875
261,-1764
262,-1648
263,-1490
