DAC sample,sin(rad)
264,-1337
265,-1140
266,-925
267,-731
268,-494
269,-250
270,0
271,213
272,458
273,696
274,892
275,1109
276,1309
277,1464
278,1626
279,1764
280,1860
281,1947
282,2005
283,2032
284,2034
285,2012
286,1957
287,1875
288,1782
289,1648
290,1489
291,1336
292,1139
293,924
294,696
295,493
296,249
297,0
298,-212
299,-457
300,-695
301,-891
302,-1108
303,-1308
304,-1463
305,-1626
306,-1763
307,-1860
308,-1947
309,-2005
310,-2031
311,-2035
312,-2006
313,-1958
314,-1875
315,-1764
316,-1648
317,-1490
318,-1337
319,-1140
320,-925
321,-731
322,-494
323,-250
324,0
325,213
326,458
327,696
328,892
329,1109
330,1309
331,1464
332,1626
333,1764
334,1860
335,1947
336,2005
337,2032
338,2034
339,2012
340,1957
341,1875
342,1782
343,1648
344,1489
345,1336
346,1139
347,924
348,696
349,493
350,249
351,0
352,-212
353,-457
354,-695
355,-891
356,-1108
357,-1308
358,-1463
359,-1626
360,-1763
361,-1860
362,-1947
363,-2005
364,-2031
365,-2035
366,-2006
367,-1958
368,-1875
369,-1764
370,-1648
371,-1490
372,-1337
373,-1140
374,-925
375,-731
376,-494
377,-250
378,0
379,213
380,458
381,696
382,892
383,1109
384,1309
385,1464
386,1626
387,1764
388,1860
389,1947
390,2005
391,2032
392,2034
393,2012
394,1957
395,1875
396,1782
397,1648
398,1489
399,1336
400,1139
401,924
402,696
403,493
404,249
405,0
406,-212
407,-457
408,-695
409,-891
410,-1108
411,-1308
412,-1463
413,-1626
414,-1763
415,-1860
416,-1947
417,-2005
418,-2031
419,-2035
420,-2006
421,-1958
422,-1875
423,-1764
424,-1648
425,-1490
426,-1337
427,-1140
428,-925
429,-731
430,-494
431,-250
432,0
433,213
434,458
435,696
436,892
437,1109
438,1309
439,1464
440,1626
441,1764
442,1860
443,1947
444,2005
445,2032
446,2034
447,2012
448,1957
449,1875
450,1782
451,1648
452,1489
453,1336
454,1139
455,924
456,696
457,493
458,249
459,0
460,-212
461,-457
462,-695
463,-891
464,-1108
465,-1308
466,-1463
467,-1626
468,-1763
469,-1860
470,-1947
471,-2005
472,-2031
473,-2035
474,-2006
475,-1958
476,-1875
477,-1764
478,-1648
479,-1490
480,-1337
481,-1140
482,-925
483,-731
484,-494
485,-250
486,0
487,213
488,458
489,696
490,892
491,1109
492,1309
493,1464
494,1626
495,1764
496,1860
497,1947
498,2005
499,2032
500,2034
501,2012
502,1957
503,1875
504,1782
505,1648
506,1489
507,1336
508,1139
509,924
510,696
511,493
512,249
513,0
514,-212
515,-457
516,-695
517,-891
518,-1108
519,-1308
520,-1463
521,-1626
522,-1763
523,-1860
524,-1947
525,-2005
526,-2031
527,-2035
528,-2006
529,-1958
530,-1875
531,-1764
532,-1648
533,-1490
534,-1337
535,-1140
536,-925
537,-731
538,-494
539,-250
540,0
541,213
542,458
543,696
544,892
545,1109
546,1309
547,1464
548,1626
549,1764
550,1860
551,1947
552,2005
553,2032
554,2034
555,2012
556,1957
557,1875
558,1782
559,1648
560,1489
561,1336
562,1139
563,924
564,696
565,493
566,249
567,0
568,-212
569,-457
570,-695
571,-891
572,-1108
573,-1308
574,-1463
575,-1626
576,-1763
577,-1860
578,-1947
579,-2005
580,-2031
581,-2035
582,-2006
583,-1958
584,-1875
585,-1764
586,-1648
587,-1490
588,-1337
589,-1140
590,-925
591,-731
592,-494
593,-250
594,0
595,213
596,458
597,696
598,892
599,1109
600,1309
601,1464
602,1626
603,1764
604,1860
605,1947
606,2005
607,2032
608,2034
609,2012
610,1957
611,1875
612,1782
613,1648
614,1489
615,1336
616,1139
617,924
618,696
619,493
620,249
621,0
622,-212
623,-457
624,-695
625,-891
626,-1108
627,-1308
628,-1463
629,-1626
630,-1763
631,-1860
632,-1947
633,-2005
634,-2031
635,-2035
636,-2006
637,-1958
638,-1875
639,-1764
640,-1648
641,-1490
642,-1337
643,-1140
644,-925
645,-731
646,-494
647,-250
648,0
649,213
650,458
651,696
652,892
653,1109
654,1309
655,1464
656,1626
657,1764
658,1860
659,1947
660,2005
661,2032
662,2034
663,2012
664,1957
665,1875
666,1782
667,1648
668,1489
669,1336
670,1139
671,924
672,696
673,493
674,249
675,0
676,-212
677,-457
678,-695
679,-891
680,-1108
681,-1308
682,-1463
683,-1626
684,-1763
685,-1860
686,-1947
687,-2005
688,-2031
689,-2035
690,-2006
691,-1958
692,-1875
693,-1764
694,-1648
695,-1490
696,-1337
697,-1140
698,-925
699,-731
700,-494
701,-250
702,0
703,213
704,458
705,696
706,892
707,1109
708,1309
709,1464
710,1626
711,1764
712,1860
713,1947
714,2005
715,2032
716,2034
717,2012
718,1957
719,1875
720,1782
721,1648
722,1489
723,1336
724,1139
725,924
726,696
727,493
728,249
729,0
730,-212
731,-457
732,-695
733,-891
734,-1108
735,-1308
736,-1463
737,-1626
738,-1763
739,-1860
740,-1947
741,-2005
742,-2031
743,-2035
744,-2006
745,-1958
746,-1875
747,-1764
748,-1648
749,-1490
750,-1337
751,-1140
752,-925
753,-731
754,-494
755,-250
756,0
757,213
758,458
759,696
760,892
761,1109
762,1309
763,1464
764,1626
765,1764
766,1860
767,1947
768,2005
769,2032
770,2034
771,2012
772,1957
773,1875
774,1782
775,1648
776,1489
777,1336
778,1139
779,924
780,696
781,493
782,249
783,0
784,-212
785,-457
786,-695
787,-891
788,-1108
789,-1308
790,-1463
791,-1626
792,-1763
793,-1860
794,-1947
795,-2005
796,-2031
797,-2035
798,-2006
799,-1958
800,-1875
801,-1764
802,-1648
803,-1490
804,-1337
805,-1140
806,-925
807,-731
808,-494
809,-250
810,0
811,213
812,458
813,696
814,892
815,1109
816,1309
817,1464
818,1626
819,1764
820,1860
821,1947
822,2005
823,2032
824,2034
825,2012
826,1957
827,1875
828,1782
829,1648
830,1489
831,1336
832,1139
833,924
834,696
835,493
836,249
837,0
838,-212
839,-457
840,-695
841,-891
842,-1108
843,-1308
844,-1463
845,-1626
846,-1763
847,-1860
848,-1947
849,-2005
850,-2031
851,-2035
852,-2006
853,-1958
854,-1875
855,-1764
856,-1648
857,-1490
858,-1337
859,-1140
860,-925
861,-731
862,-494
863,-250
864,0
865,213
866,458
867,696
868,892
869,1109
870,1309
871,1464
872,1626
873,1764
874,1860
875,1947
876,2005
877,2032
878,2034
879,2012
880,1957
881,1875
882,1782
883,1648
884,1489
885,1336
886,1139
887,924
888,696
889,493
890,249
891,0
892,-212
893,-457
894,-695
895,-891
896,-1108
897,-1308
898,-1463
899,-1626
900,-1763
901,-1860
902,-1947
903,-2005
904,-2031
905,-2035
906,-2006
907,-1958
908,-1875
909,-1764
910,-1648
911,-1490
912,-1337
913,-1140
914,-925
915,-731
916,-494
917,-250
918,0
919,213
920,458
921,696
922,892
923,1109
924,1309
925,1464
926,1626
927,1764
928,1860
929,1947
930,2005
931,2032
932,2034
933,2012
934,1957
935,1875
936,1782
937,1648
938,1489
939,1336
940,1139
941,924
942,696
943,493
944,249
945,0
946,-212
947,-457
948,-695
949,-891
950,-1108
951,-1308
952,-1463
953,-1626
954,-1763
955,-1860
956,-1947
957,-2005
958,-2031
959,-2035
960,-2006
961,-1958
962,-1875
963,-1764
964,-1648
965,-1490
966,-1337
967,-1140
968,-925
969,-731
970,-494
971,-250
972,0
973,213
974,458
975,696
976,892
977,1109
978,1309
979,1464
980,1626
981,1764
982,1860
983,1947
984,2005
985,2032
986,2034
987,2012
988,1957
989,1875
990,1782
991,1648
992,1489
993,1336
994,1139
995,924
996,696
997,493
998,249
999,0
1000,-212
1001,-457
1002,-695
1003,-891
1004,-1108
1005,-1308
1006,-1463
1007,-1626
1008,-1763
1009,-1860
1010,-1947
1011,-2005
1012,-2031
1013,-2035
1014,-2006
1015,-1958
1016,-1875
1017,-1764
1018,-1648
1019,-1490
1020,-1337
1021,-1140
1022,-925
1023,-731
